preflabel,definition,notation,altlabel,related
City of Fremantle,,city-of-fremantle,,
Shire of Gingin,,shire-of-gingin,,
Shire of Gnowangerup,,shire-of-gnowangerup,,
Shire of Goomalling,,shire-of-goomalling,,
City of Gosnells,,city-of-gosnells,,
City of Greater Geraldton,,city-of-greater-geraldton,,
Shire of Halls Creek,,shire-of-halls-creek,,
Shire of Harvey,,shire-of-harvey,,
Shire of Irwin,,shire-of-irwin,,
Shire of Jerramungup,,shire-of-jerramungup,,
City of Joondalup,,city-of-joondalup,,
City of Kalamunda,,city-of-kalamunda,,
City of Kalgoorlie-Boulder,,city-of-kalgoorlie-boulder,,
City of Karratha,,city-of-karratha,,
Shire of Katanning,,shire-of-katanning,,
Shire of Kellerberrin,,shire-of-kellerberrin,,
Shire of Kent,,shire-of-kent,,
Shire of Kojonup,,shire-of-kojonup,,
Shire of Kondinin,,shire-of-kondinin,,
Shire of Koorda,,shire-of-koorda,,
Shire of Kulin,,shire-of-kulin,,
City of Kwinana,,city-of-kwinana,,
Shire of Lake Grace,,shire-of-lake-grace,,
Shire of Laverton,,shire-of-laverton,,
Shire of Leonora,,shire-of-leonora,,
City of Mandurah,,city-of-mandurah,,
Shire of Manjimup,,shire-of-manjimup,,
Shire of Meekatharra,,shire-of-meekatharra,,
City of Melville,,city-of-melville,,
Shire of Menzies,,shire-of-menzies,,
Shire of Merredin,,shire-of-merredin,,
Shire of Mingenew,,shire-of-mingenew,,
Shire of Moora,,shire-of-moora,,
Shire of Morawa,,shire-of-morawa,,
Town of Mosman Park,,town-of-mosman-park,,
Shire of Mount Magnet,,shire-of-mount-magnet,,
Shire of Mount Marshall,,shire-of-mount-marshall,,
Shire of Mukinbudin,,shire-of-mukinbudin,,
Shire of Mundaring,,shire-of-mundaring,,
Shire of Murchison,,shire-of-murchison,,
Shire of Murray,,shire-of-murray,,
Shire of Nannup,,shire-of-nannup,,
Shire of Narembeen,,shire-of-narembeen,,
Shire of Narrogin,,shire-of-narrogin,,
City of Nedlands,,city-of-nedlands,,
Shire of Ngaanyatjarraku,,shire-of-ngaanyatjarraku,,
Shire of Northam,,shire-of-northam,,
Shire of Northampton,,shire-of-northampton,,
Shire of Nungarin,,shire-of-nungarin,,
Shire of Peppermint Grove,,shire-of-peppermint-grove,,
Shire of Perenjori,,shire-of-perenjori,,
City of Perth,,city-of-perth,,
Shire of Pingelly,,shire-of-pingelly,,
Shire of Plantagenet,,shire-of-plantagenet,,
Town of Port Hedland,,town-of-port-hedland,,
Shire of Quairading,,shire-of-quairading,,
Shire of Ravensthorpe,,shire-of-ravensthorpe,,
City of Rockingham,,city-of-rockingham,,
Shire of Sandstone,,shire-of-sandstone,,
Shire of Serpentine-Jarrahdale,,shire-of-serpentine-jarrahdale,,
Shire of Shark Bay,,shire-of-shark-bay,,
City of South Perth,,city-of-south-perth,,
City of Stirling,,city-of-stirling,,
City of Subiaco,,city-of-subiaco,,
City of Swan,,city-of-swan,,
Shire of Tammin,,shire-of-tammin,,
Shire of Three Springs,,shire-of-three-springs,,
Shire of Toodyay,,shire-of-toodyay,,
Shire of Trayning,,shire-of-trayning,,
Shire of Upper Gascoyne,,shire-of-upper-gascoyne,,
Town of Victoria Park,,town-of-victoria-park,,
Shire of Victoria Plains,,shire-of-victoria-plains,,
City of Vincent,,city-of-vincent,,
Shire of Wagin,,shire-of-wagin,,
Shire of Wandering,,shire-of-wandering,,
City of Wanneroo,,city-of-wanneroo,,
Shire of Waroona,,shire-of-waroona,,
Shire of West Arthur,,shire-of-west-arthur,,
Shire of Westonia,,shire-of-westonia,,
Shire of Wickepin,,shire-of-wickepin,,
Shire of Williams,,shire-of-williams,,
Shire of Wiluna,,shire-of-wiluna,,
Shire of Wongan-Ballidu,,shire-of-wongan-ballidu,,
Shire of Woodanilling,,shire-of-woodanilling,,
Shire of Wyalkatchem,,shire-of-wyalkatchem,,
Shire of Wyndham-East Kimberley,,shire-of-wyndham-east-kimberley,,
Shire of Yalgoo,,shire-of-yalgoo,,
Shire of Yilgarn,,shire-of-yilgarn,,
Shire of York,,shire-of-york,,
