preflabel,definition,notation,altlabel,related
Rangitikei District,"A district council constituted by Local Government (Manawatu-Wanganui Region) Reorganisation Order 1989, Gazette 1989, p 2351",038,,
Manawatu District,"A district council constituted by Local Government (Manawatu-Wanganui Region) Reorganisation Order 1989, Gazette 1989, p 2351",039,,
Palmerston North City,"A city council constituted by Local Government (Manawatu-Wanganui Region) Reorganisation Order 1989, Gazette 1989, p 2351",040,,
Tararua District,"A district council constituted by Local Government (Manawatu-Wanganui Region) Reorganisation Order 1989, Gazette 1989, p 2351",041,,
Horowhenua District,"A district council constituted by Local Government (Manawatu-Wanganui Region) Reorganisation Order 1989, Gazette 1989, p 2351",042,,
Kapiti Coast District,"A district council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",043,,
Porirua City,"A city council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",044,,
Upper Hutt City,"A city council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",045,,
Hutt City,"A city council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",046,Lower Hutt City,
Wellington City,"A city council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",047,,
Masterton District,"A district council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",048,,
Carterton District,"A district council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",049,,
South Wairarapa District,"A district council constituted by Local Government (Wellington Region) Reorganisation Order 1989, Gazette 1989, p 2491",050,,
Tasman District,"A district council constituted by Local Government (Nelson–Marlborough Region) Reorganisation Order 1989, Gazette 1989, p 2375",051,,
Nelson City,"A city council constituted by Local Government (Nelson–Marlborough Region) Reorganisation Order 1989, Gazette 1989, p 2375",052,,
Marlborough District,"A district council constituted by Local Government (Nelson–Marlborough Region) Reorganisation Order 1989, Gazette 1989, p 2375",053,,
Kaikoura District,"A district council constituted by Local Government (Nelson–Marlborough Region) Reorganisation Order 1989, Gazette 1989, p 2375",054,,
Buller District,"A district council constituted by Local Government (West Coast Region) Reorganisation Order 1989, Gazette 1989, p 2517",055,,
Grey District,"A district council constituted by Local Government (West Coast Region) Reorganisation Order 1989, Gazette 1989, p 2517",056,,
Westland District,"A district council constituted by Local Government (West Coast Region) Reorganisation Order 1989, Gazette 1989, p 2517",057,,
Hurunui District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",058,,
Waimakariri District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",059,,
Christchurch City,"A city council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",060,,
Banks Peninsula District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296, and amalgamated by Christchurch City Council in 2006",61,,Christchurch City
Selwyn District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",062,,
Ashburton District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",063,,
Timaru District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",064,,
Mackenzie District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",065,,
Waimate District,"A district council constituted by Local Government (Canterbury Region) Reorganisation Order 1989, Gazette 1989, p 2296",066,,
Chatham Islands Territory,"A territorial authority constituted by the Chatham Islands Council Act 1995",067,,
Waitaki District,"A district council constituted by Local Government (Otago Region) Reorganisation Order 1989, Gazette 1989, p 2408",068,,
Central Otago District,"A district council constituted by Local Government (Otago Region) Reorganisation Order 1989, Gazette 1989, p 2408",069,,
Queenstown-Lakes District,"A district council constituted by Local Government (Otago Region) Reorganisation Order 1989, Gazette 1989, p 2408",070,,
Dunedin City,"A city council constituted by Local Government (Otago Region) Reorganisation Order 1989, Gazette 1989, p 2408",071,,
Clutha District,"A district council constituted by Local Government (Otago Region) Reorganisation Order 1989, Gazette 1989, p 2408",072,,
Southland District,"A district council constituted by Local Government (Southland Region) Reorganisation Order 1989, Gazette 1989, p 2430",073,,
Gore District,"A district council constituted by Local Government (Southland Region) Reorganisation Order 1989, Gazette 1989, p 2430",074,,
Invercargill City,"A city council constituted by Local Government (Invercargill City) Reorganisation Order 1990, Gazette 1990, p 2326",075,,
Auckland,"A city council constituted by section 6(1) of the Local Government (Auckland Council) Act 2009 and amended by section 113(1) of the Local Government (Auckland Transitional Provisions) Act 2010 (2010 No 37)",076,,
Minister of Local Government,,800,,
Area Outside Territorial Authority,,999,,
