preflabel,definition,notation,altlabel,related
Plot / Diagram,"Plot or diagram to support survey definition, e.g., aerial photograph, digitised stream fix.",p-d,,
Power of Attorney,"Power of Attorney summary (also registered as a document).",pa,,
Pre-Allocation Request,"A request for LINZ to allocate one or more new title numbers what will issue when a land transfer survey deposits.",p-ar,,
Pre-Check Rejection Letter,"A copy of a rejection letter or report from LINZ attached to the re-lodged dealing or survey.",p-crl,,
PSB Non Primary Graphic (PSBG),"Used to depict easements defined by Permanent Structure Boundaries where survey purpose is Easement, Lease or Statutory Easement/Right.  When this supporting document type is selected, the attached documents are incorporated into the CSD or Title Plan images, allowing the CSD to be submitted without spatial capture.",psbg,,
Request to produce instrument (s211 Land Transfer Act 1952),"Request by the Senior Regulatory Adviser (SRA) for a customer to produce an instrument or title.",s211,,
Requisition/Rejection Review,"An online form provided by LINZ to allow conveyancers and surveyors to request LINZ to review the reasons for rejection or requisition of a dealing or survey.",r-rr,,
Response to Requisition Notice,"Surveyors reply to a requisition associated with a survey.",rrn,,
Re-submission Fee Review,"An online form provided by LINZ to allow conveyancers and surveyors to request LINZ to review the fees for rejection or requisition of a dealing or survey.",r-sfr,,
Schedule / Memorandum,"Schedule or memorandum containing information about easements as required by Rule 10.2 of the Rules for Cadastral Survey 2010. Can also be used for recording covenant information required by Rule 10.3 of the Rules for Cadastral Survey 2010.",s-m,,
Scheme Plan,"Geodetic network planning.",sp,,
Search Fee Wastage,"Report associated with searching.",sfw,,
Site Details,"Details of a geodetic site which may contain one or more survey marks.",sd,,
Site Photograph,"Photo of survey monuments (usually associated with geodetic marks).",sp,,
Survey Assistance Report,"A report by a surveyor as required by Rule 8.2 of the Rules for Cadastral Survey 2010.",sar,,
Survey Data Graphic,"A type of plan graphic containing survey data to be incorporated with the Record of Survey. Used to depict survey data that is not required to be captured by the Standard for lodgement of cadastral survey datasets (LINZS70000). For example can be used for recording survey data on Simple and Complex Boundary Reinstatement CSDs.",sdg,,
Survey Report,"A report by a surveyor giving details of a survey as required under the Surveyor-Generals Guidelines.",sr,,
TA Correspondence,"Miscellaneous.  Territorial Authority correspondence associated with the survey.",tac,,
Territorial Authority (TA) Certificate,"Certification from a TA to attach to a Digital Survey Plan and Digital Title Plan.",ta-c,,
Territorial Authority (TA) Certificate  Plan Image,"A scanned image of a certified paper survey plan.",tacpi,,
Traverse Sheet,"Traverse sheets associated with the survey.",ts,,
Unit Entitlements and Valuers Certification,"Valuer's Unit Entitlement and Certification for Unit Developments.",uevc,,
Water Boundary Record,"Record of the position of any new water boundary associated with the survey.",wbr,,
Withdraw Instrument/Dealing,"Request to withdraw an instrument or dealing.",wi-d,,
